international_id	goals	assists	num_of_shots	shot_speed	shot_attempts	shooting_percentage	high_danger_shots	medium_danger_shots	low_danger_shots	save_percentage	winning_goals	power_play_time	power_play_goals	time_on_ice	faceoff_win_percentage	puck_touches	puck_recoveries	puck_possession_time	penalty_kill_time	penality_minutes	penalties_taken	time_between_penalties	goals_against_total	goals_against_average	passes_attempted	passes_completed	pass_completion_rate	games_missed_due_to_injury
6938	166.0	244.0	461.0	130.6172	480.0	12.6758	158.0	185.0	137.0	63.9321	7.0	1.8632	190.0	9.6	45.4934	900.0	142.0	10.24	3.23	13.0	0.0	8.02	0.0	0.0	759.0	148.0	19.5	28.0
3924	98.0	166.0	459.0	76.4679	490.0	10.1533	142.0	186.0	162.0	55.3581	6.0	3.8182	107.0	3.85	59.346	344.0	138.0	0.0	3.47	2.0	1.0	1.14	0.0	0.0	456.0	354.0	77.63	21.0
3365	87.0	167.0	439.0	82.1817	449.0	33.3924	134.0	165.0	150.0	80.0563	3.0	2.5411	104.0	27.8	56.1291	57.0	78.0	18.94	0.0	8.0	0.0	54.28	0.0	0.0	371.0	171.0	46.09	19.0
1284	93.0	155.0	447.0	73.0825	447.0	30.7875	141.0	136.0	170.0	72.6164	4.0	5.0928	101.0	17.08	54.0498	146.0	296.0	0.0	1.81	16.0	1.0	8.89	0.0	0.0	411.0	137.0	33.33	17.0
5333	104.0	169.0	496.0	75.9673	503.0	42.2507	188.0	163.0	152.0	70.3253	0.0	1.5467	115.0	13.02	49.7741	200.0	183.0	0.0	4.78	0.0	0.0	18.33	0.0	0.0	455.0	183.0	40.22	18.0
54	107.0	126.0	447.0	83.5125	447.0	26.251	147.0	165.0	135.0	66.2859	5.0	1.7623	106.0	8.76	50.8135	167.0	73.0	5.29	5.42	11.0	0.0	6.31	0.0	0.0	387.0	301.0	77.78	12.0
6868	58.0	165.0	490.0	77.8313	495.0	10.5003	156.0	197.0	142.0	64.7526	7.0	1.7644	86.0	7.26	58.4942	1080.0	160.0	31.32	5.53	17.0	0.0	8.42	0.0	0.0	799.0	505.0	63.2	21.0
6539	93.0	165.0	456.0	118.6215	472.0	56.8921	183.0	141.0	148.0	56.4027	10.0	7.7433	107.0	11.49	47.1843	80.0	102.0	0.0	5.19	3.0	3.0	4.08	0.0	0.0	384.0	282.0	73.44	22.0
2012	79.0	198.0	470.0	62.8902	485.0	15.3951	152.0	180.0	153.0	83.7834	8.0	2.0573	110.0	7.16	41.8453	1290.0	235.0	59.52	4.19	54.0	0.0	13.83	0.0	0.0	937.0	709.0	75.67	20.0
5815	121.0	180.0	474.0	83.1012	513.0	46.5347	169.0	194.0	150.0	72.3546	9.0	1.9433	133.0	23.92	42.078	103.0	135.0	11.28	0.0	19.0	0.0	35.74	24.0	20.64	398.0	337.0	84.67	22.0
8051	82.0	165.0	453.0	146.4773	457.0	44.3721	140.0	152.0	165.0	63.3935	8.0	2.4288	103.0	9.98	48.0111	840.0	224.0	0.0	5.69	7.0	0.0	10.52	0.0	0.0	664.0	597.0	89.91	17.0
